Year,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2018,Terrence Ross,SG,26,ORL,22,576,10.4,0.515,0.48,0.198,1.9,11.2,6.6,8.5,2.2,1.3,11.5,16.3,0,0.3,0.4,0.03,-1.2,0,-1.2,0.1
2018,Terry Rozier,PG,23,BOS,24,555,13.5,0.497,0.517,0.161,3.6,16.7,10.3,13.8,2.2,0.1,7.2,18.9,0.4,1,1.5,0.127,0,1.2,1.2,0.5
2018,Ricky Rubio,PG,27,UTA,22,631,13.7,0.519,0.393,0.345,1.8,13.4,7.4,27.5,2.9,0.6,20.7,23.8,-0.1,0.9,0.9,0.065,-0.9,0.7,-0.2,0.3
2018,D'Angelo Russell,PG,21,BRK,12,333,19.4,0.539,0.298,0.307,2.7,15.1,8.7,38.3,1.7,0.5,17.1,35,0.1,0.2,0.3,0.046,2.6,-0.9,1.7,0.3
2018,Domantas Sabonis,PF,21,IND,21,529,19.2,0.604,0.061,0.48,12.6,25.9,19.3,13,0.6,1.1,16.5,21.4,1.3,0.4,1.7,0.155,1.1,-0.2,0.9,0.4
2018,JaKarr Sampson,SF,24,SAC,3,38,9.3,0.46,0.1,0.2,8.7,15.9,12.1,7.8,0,2.5,0,12.9,0,0,0.1,0.069,-2.6,-1.7,-4.3,0
2018,Dario Saric,PF,23,PHI,22,624,12.1,0.523,0.446,0.17,7.5,15.9,11.8,9.1,0.8,1.2,12.1,18.1,0.5,0.6,1.1,0.082,-0.4,-0.2,-0.6,0.2
2018,Tomas Satoransky,SG,26,WAS,13,185,17,0.602,0.227,0.386,5.5,10.7,8.1,26.4,1.6,0,10.4,13.6,0.6,0.2,0.8,0.198,2.5,-0.6,1.9,0.2
2018,Dennis Schroder,PG,24,ATL,20,643,19.3,0.533,0.205,0.194,2.6,7.3,4.9,36.7,1.8,0,13.4,30,0.9,0.1,1.1,0.079,2.4,-3,-0.6,0.2
2018,Mike Scott,PF,29,WAS,19,340,12.8,0.591,0.303,0.168,3.7,17.1,10.5,5.1,0.9,1,13.5,19,0.3,0.4,0.6,0.086,-1.3,-1,-2.3,0
2018,Thabo Sefolosha,SF,33,UTA,22,462,15.8,0.613,0.365,0.23,3.4,20.6,11.7,6,3.3,0.6,10.9,15.2,0.7,0.8,1.5,0.153,0,1.7,1.6,0.4
2018,Wayne Selden,SG,23,MEM,2,19,15.2,0.717,0.5,0.5,0,12.3,6.1,32.8,2.7,0,38.1,19.1,0,0,0,0.074,-2.4,-2.2,-4.6,0
